brand,perfume_name,top_note,middle_note,base_note,mood
Diptyque,도손,"로즈, 백합, 화이트 머스크","자스민, 스파이스","화이트 머스크, 레진","풍성, 몽환적, 부드러움"
Diptyque,오르페옹,풀잎,자스민,"시더우드, 바닐라, 파우더리 머스크","파우더리, 빈티지, 포근"
Diptyque,필로시코스,"풀잎, 베리, 무화과 잎","풀잎, 바닐라","시더우드, 우드","싱그러움, 달콤, 자연적, 젠더리스"
Diptyque,탐다오,"로즈, 우드, 풀잎","샌달우드, 시더우드","스파이스, 앰버, 화이트 머스크, 우드","명상적, 자연적, 절 향기"
Diptyque,오 로즈,베리,"장미, 풀잎","화이트 머스크, 우드","싱그러움, 맑음, 섬세, 화사함"
Diptyque,플레르 드 뽀,"베르가못, 파우더리 머스크, 스파이스, 풀잎","장미, 파우더리 머스크","머스크, 샌달우드, 레더, 소프트 머스크, 패출리, 화이트 머스크, 우드","부드러움, 달콤, 몽글몽글"
Diptyque,오 데썽,"백합, 레몬, 오렌지",풀잎,"파출리, 풀잎","청량, 깨끗, 생동감, 비누, 젠더리스, 산뜻"
조말론,우드 세이지 앤 씨 솔트,소프트 머스크,"씨솔트, 마린노트","자몽, 풀잎","차분, 세련, 편안"
조말론,블랙베리 앤 베이,베리,풀잎,시더우드,"활발, 깔끔, 편안, 로맨틱, 세련"
조말론,잉글리쉬 페어 앤 프리지아,배,"장미, 백합","패출리, 앰버, 화이트 머스크, 레진","활발, 고급스러움, 세련, 깔끔, 편안, 로맨틱"
조말론,피오니 앤 블러쉬 스웨이드,사과,"자스민, 장미, 백합, 스파이스",파우더리 머스크,"활발, 세련, 깔끔, 로맨틱, 편안, 섹시"
조말론,라임 바질 앤 만다린,"오렌지, 베르가못, 레몬","풀잎, 백합, 파우더리 머스크","베티버, 파출리","차분, 깔끔, 편안"
바이레도,모하비 고스트,"배, 소프트 머스크","샌달우드, 백합, 파우더리 머스크","시더우드, 화이트 머스크","차분, 고급스러움, 세련, 깔끔, 로맨틱"
바이레도,블랑쉬,"장미, 클린머스크, 스파이스","백합, 장미, 파우더리 머스크, 베르가못","화이트 머스크, 샌달우, 시더우드","차분, 깔끔, 편안, 로맨틱"
바이레도,집시 워터,"베르가못, 스파이시, 레몬","풀잎, 시더우드, 파우더리 머스크, 백합, 인센스","앰버, 샌달우드, 바닐라","차분, 세련, 편안, 개성, 깔끔"
바이레도,발 다프리크,"베르가못, 레몬, 백합, 풀잎, 베리, 자스민","파우더리 머스크, 백합, 자스민","베티버, 화이트 머스크, 앰버, 시더우드","활발, 화려, 고급스러움, 세련"
바이레도,라튤립,"백합, 풀잎","풀잎, 백합","베티버, 샌달우드, 시더우드","고급스러움, 세련, 깔끔, 로맨틱, 차분"
르라보,베르가못 22,"자몽, 화이트 머스크, 베르가못, 풀잎, 오렌지, 앰버","자몽, 화이트 머스크, 베르가못, 풀잎, 오렌지, 앰버","자몽, 화이트 머스크, 베르가못, 풀잎, 오렌지, 앰버","활발, 깔끔, 세련, 편안, 청량, 싱그러움"
르라보,떼누아 29,"베르가못, 시더우드, 베티버, 화이트 머스크, 무화과 잎, 베리, 풀잎, 녹차, 인센스, 패출리","베르가못, 시더우드, 베티버, 화이트 머스크, 무화과 잎, 베리, 풀잎, 녹차, 인센스, 패출리","베르가못, 시더우드, 베티버, 화이트 머스크, 무화과 잎, 베리, 풀잎, 녹차, 인센스, 패출리","차분, 세련, 깔끔, 고급스러움, 지적임, 자연적"
르라보,떼 마차 26,"베티버, 시더우드, 무화과 잎, 녹차, 오렌지","베티버, 시더우드, 무화과 잎, 녹차, 오렌지","베티버, 시더우드, 무화과 잎, 녹차, 오렌지","차분, 편안, 깔끔, 세련, 포근, 자연적"
르라보,어나더 13,"배, 사과, 바이레도, 오렌지","자스민, 화이트 머스크, 풀잎, 베티버, 패출리, 백합","시더우드, 앰버, 소프트 머스크, 파우더리 머스크","세련, 깔끔, 고급스러움, 차분, 젠더리스, 도시적"
르라보,상탈 33,"시더우드, 스파이스, 백합, 파우더리 머스크, 앰버, 샌달우드, 베티버, 패출리, 화이트 머스크","시더우드, 스파이스, 백합, 파우더리 머스크, 앰버, 샌달우드, 베티버, 패출리, 화이트 머스크","시더우드, 스파이스, 백합, 파우더리 머스크, 앰버, 샌달우드, 베티버, 패출리, 화이트 머스크","세련, 고급스러움, 차분, 개성, 자연스러움, 스모키, 빈티지"
"메종 
프란시스 
커정",아쿠아 유니버셜,"레몬, 오렌지, 베르가못, 화이트 머스크, 백합, 자스민, 시더우드","레몬, 오렌지, 베르가못, 화이트 머스크, 백합, 자스민, 시더우드","레몬, 오렌지, 베르가못, 화이트 머스크, 백합, 자스민, 시더우드","활발, 깔끔, 편안, 세련, 청향"
"메종 
프란시스 
커정",바카라 루쥬 540,"자스민, 캐러멜","앰버, 자스민","베티버, 패출리, 캐러멜, 레진, 앰버","화려, 고급스러움, 섹시, 개성, 몽환적"
크리드,어벤투스,"베르가못, 베리, 사과, 레몬, 스파이시, 풀잎","패출리, 자스민, 시더우드, 사과, 베리","화이트 머스크, 앰버, 시더우드, 패출리","고급스러움, 세련, 화려"
크리드,오리지널 베티버,"베르가못, 오렌지, 레몬, 스파이스","샌달우드, 베티버, 백합, 시더우드, 대나무, 파우더리 머스크","앰버, 화이트 머스크, 시더우드, 바닐라","깔끔, 세련, 활발, 차분, 청량, 자연적"
크리드,실버마운틴 워터,"베르가못, 오렌지","베리, 녹차, 마린노트, 오존","화이트 머스크, 샌달우드, 베르가못, 풀잎, 패출리","깔끔, 세련, 차분, 고급스러움, 젠더리스, 청량"
크리드,러브 인 화이트,오렌지,"장미, 자스민, 파우더리 머스크, 백합, 바닐라, 소프트 머스크",샌달우드,"고급스러움, 차분, 로맨틱, 우아, 순수"
메종 마르지엘라,레이지 선데이 모닝,"백합, 배","파우더리 머스크, 장미, 오렌지, 자스민","화이트 머스크, 소프트 머스크, 패출리","깔끔, 편안, 차분, 순수"
메종 마르지엘라,재즈클럽,"스파이시, 레몬, 자스민","베티버, 캐러멜, 엠버, 풀잎, 스파이시","인센스, 바닐라, 레진, 앰버","섹시, 고급스러움, 차분, 화려"
메종 마르지엘라,바이 더 파이어플레이스,"스파이스, 백합","시더우드, 캐러멜, 베티바, 풀잎","바닐라, 레진, 소프트 머스크","개성, 화려, 고급스러우므 세련, 편안, 차분"
킬리안,엔젤스 셰어,"앰버, 캐러멜","스파이시, 샌달 우드","샌달우드, 바닐라, 너티","고급스러움, 섹시, 차분, 화려"
킬리안,문라이트 인 헤븐,"자몽, 레몬, 스파이시, 풀잎","장미, 레몬, 너티, 자스민, 배, 사과, 복숭아","베티버, 화이트 머스크, 바닐라, 파우더리 머스크","관능적, 개성, 편안, 세련"
킬리안,굿걸곤배드,"피치, 베리가못, 오렌지, 백합, 스파이시, 복숭아","장미, 자스민, 백합","앰버, 시더우드, 베티버, 샌달우드, 파출리","화려, 섹시, 고급스러움, 로맨틱"
아쿠아 디파르마,미르토 디 파나레아,"레몬, 베르가못, 풀잎","자스민, 로즈, 마린노트","시더우드, 앰버, 인센스","깔끔, 편안, 활발, 순수, 청량, 젠더리스, 산뜻"
아쿠아 디파르마,피코 디 아말피,"자몽, 베르가모스 레몬","무화과 잎, 자스민, 스파이시, 복숭아","시더우드, 샌달우드, 레진","깔끔, 활발, 편안, 순수, 자연적"
로에베,,,,,
